iter	Passed	Remaining
0	53	53621
1	107	53493
2	151	50481
3	198	49459
4	242	48353
5	306	50823
6	362	51357
7	429	53209
8	482	53099
9	533	52853
10	586	52712
11	658	54195
12	712	54102
13	773	54478
14	820	53880
15	901	55435
16	970	56105
17	1039	56702
18	1099	56792
19	1171	57411
20	1235	57584
21	1303	57939
22	1370	58199
23	1437	58445
24	1497	58421
25	1551	58108
26	1602	57764
27	1653	57383
28	1719	57582
29	1787	57797
30	1854	57965
31	1911	57825
32	1993	58408
33	2050	58252
34	2128	58696
35	2189	58634
36	2269	59066
37	2332	59037
38	2391	58938
39	2448	58766
40	2516	58857
41	2619	59745
42	2690	59874
43	2743	59615
44	2812	59688
45	2870	59525
46	2921	59240
47	2984	59188
48	3039	58993
49	3133	59534
50	3188	59333
51	3238	59044
52	3287	58733
53	3349	58680
54	3430	58942
55	3481	58682
56	3566	59005
57	3629	58946
58	3683	58755
59	3728	58416
60	3794	58402
61	3857	58353
62	3927	58407
63	3979	58198
64	4068	58530
65	4126	58395
66	4190	58348
67	4238	58090
68	4294	57944
69	4347	57758
70	4394	57506
71	4463	57525
72	4526	57475
73	4592	57467
74	4641	57239
75	4704	57198
76	4774	57234
77	4838	57194
78	4892	57041
79	4944	56857
80	4998	56706
81	5044	56478
82	5110	56461
83	5159	56263
84	5214	56127
85	5268	55990
86	5327	55905
87	5390	55861
88	5445	55736
89	5507	55688
90	5568	55624
91	5635	55615
92	5686	55458
93	5742	55343
94	5804	55298
95	5857	55158
96	5911	55032
97	5958	54844
98	6012	54719
99	6079	54714
100	6123	54506
101	6192	54517
102	6249	54428
103	6300	54277
104	6353	54152
105	6409	54058
106	6467	53973
107	6543	54048
108	6606	54006
109	6650	53811
110	6715	53781
111	6763	53626
112	6828	53601
113	6878	53462
114	6929	53329
115	6991	53279
116	7035	53096
117	7096	53045
118	7146	52905
119	7192	52746
120	7249	52664
121	7321	52691
122	7367	52530
123	7460	52706
124	7510	52570
125	7561	52448
126	7612	52328
127	7664	52216
128	7711	52068
129	7777	52046
130	7846	52047
131	7907	51999
132	7966	51932
133	8027	51877
134	8074	51735
135	8133	51672
136	8218	51768
137	8263	51618
138	8322	51552
139	8397	51582
140	8458	51530
141	8511	51430
142	8586	51459
143	8651	51427
144	8710	51361
145	8772	51313
146	8821	51189
147	8883	51140
148	8942	51075
149	8992	50957
150	9075	51025
