species_name,is_wild,is_domestic,is_aquatic,causal_agent_type,country_name,latitude,longitude,month,season,susceptible,epi_unit_type,disease_name
Cattle,0,0,0,Virus,Portugal,38.736143,-8.756934,October,Post-Monsoon,9,Farm,Bluetongue
House Crow,1,0,0,Virus,India,19.6275,85.30194444,December,Winter,0,Not applicable,Highly pathogenic avian influenza
Rook,1,0,0,Virus,Bulgaria,42.4958,27.4611,October,Post-Monsoon,0,Forest,West Nile Fever
Rainbow trout,0,0,1,Virus,Denmark,55.5075,9.3645,August,Monsoon,2158016,Farm,Infectious haematopoietic necrosis virus
Goats,0,0,0,Virus,Tunisia,35.391576,9.543514,August,Monsoon,143,Farm,Peste des petits ruminants
Cattle,0,0,0,Prion,Brazil,-10.6938888889,-55.8705277778,April,Summer,22794,Farm,Bovine spongiform encephalopathy
Cattle,0,0,0,Virus,Italy,39.758533,8.536733,February,Winter,1111,Farm,Bluetongue
Cattle,0,0,0,Virus,Russia,50.2377,127.884,November,Post-Monsoon,10048,Village,Foot and mouth disease
Cattle,0,0,0,Bacterium,Italy,41.73653,12.76438,August,Monsoon,73,Farm,Anthrax
Goats,0,0,0,Prion,Slovenia,45.68,13.96,April,Summer,14,Farm,Scrapie
Birds,0,1,0,Virus,United Kingdom,50.94,0.66,January,Winter,240,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Germany,51.28,13.5,December,Winter,110,Farm,Bluetongue
Dogs,0,0,0,Virus,Myanmar,17.48,97.56,September,Monsoon,25,Other,Rabies
Birds,0,0,0,Virus,Ukraine,48.5733,32.2902,September,Monsoon,128,Village,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Latvia,55.9489,27.4492,March,Summer,0,Not applicable,Classical swine fever
Birds,0,1,0,Virus,India,25.262772,87.013378,March,Summer,12116,Farm,Highly pathogenic avian influenza
Equidae,0,0,0,Virus,Costa Rica,10.34929,-85.18432,November,Post-Monsoon,90,Farm,West Nile Fever
Cattle,0,0,0,Virus,Ireland,52.444,-6.324,January,Winter,1252,Farm,Bluetongue
Swine,0,0,0,Virus,Hong Kong,22.5128,114.1176,September,Monsoon,0,Slaughterhouse,African swine fever
Cattle,0,0,0,Virus,Namibia,-17.81,24.94,October,Post-Monsoon,278,Village,Foot and mouth disease
Anatidae (unidentified),1,0,0,Virus,Germany,47.92,8.18,March,Summer,0,Backyard,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Nigeria,10.04912,11.20944,July,Monsoon,3420,Farm,African swine fever
Wild boar,1,0,0,Virus,Ukraine,51.1512,28.0373,July,Monsoon,0,Forest,African swine fever
Northern Goshawk,1,0,0,Virus,Japan,43.3941,145.1179,November,Post-Monsoon,0,Not applicable,Highly pathogenic avian influenza
Wildlife (species unspecified),1,0,0,Virus,Japan,35.5956415,140.2170679,March,Summer,0,Farm,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Romania,46.357691,27.660683,September,Monsoon,106,Backyard,Newcastle disease
Wild boar,1,0,0,Virus,Croatia,45.1228385,18.8309446,March,Summer,0,Forest,African swine fever
Equidae,0,0,0,Virus,France,43.33696026,6.5466448,April,Summer,68,Farm,Equine infectious anaemia
Equidae,0,0,0,Virus,Hungary,47.03407,18.77151,March,Summer,17,Farm,Equine infectious anaemia
Cattle,0,0,0,Virus,Montenegro,43.278,19.277,October,Post-Monsoon,1323,Farm,Bluetongue
Rainbow trout,0,0,1,Virus,Georgia,42.052085,44.125846,July,Monsoon,40000,River system,Infectious haematopoietic necrosis virus
Swine,0,0,0,Virus,Russia,51.308132,48.382381,December,Winter,59,Backyard,African swine fever
Swine,0,0,0,Virus,Moldova,48.06848,27.397838,March,Summer,9,Backyard,African swine fever
Swine,0,0,0,Virus,Russia,59.585785,150.836146,March,Summer,36,Backyard,African swine fever
Birds,0,1,0,Virus,Saudi Arabia,25.5944033,45.6569652,January,Winter,408000,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Palestine,31.54,35.07,May,Summer,34,Farm,Foot and mouth disease
Birds,0,1,0,Virus,India,9.306458,76.469252,October,Post-Monsoon,96532,Backyard,Highly pathogenic avian influenza
Buffaloes,0,0,0,Virus,Thailand,18.689547,98.994437,March,Summer,17,Village,Lumpy skin disease
Ferret,1,0,0,Virus,Slovenia,46.242,15.262,November,Post-Monsoon,1,Other,SARS-CoV-2 in animals
Cattle,0,0,0,Virus,Myanmar,16.1528,97.4259,November,Post-Monsoon,184,Village,Foot and mouth disease
Birds,0,1,0,Virus,Italy,45.01196,10.717168,June,Monsoon,132,Farm,Low pathogenic avian influenza
Dogs,0,0,0,Virus,Armenia,40.103,44.0048,June,Monsoon,1,Backyard,Rabies
Birds,0,1,0,Virus,Denmark,55.31,11.5799,June,Monsoon,5193,Farm,Low pathogenic avian influenza
Cattle,0,0,0,Virus,Former Yug. Rep. of Macedonia,42.000437,22.622609,May,Summer,4576,Village,Lumpy skin disease
Anatidae (unidentified),1,0,0,Virus,Germany,52.53,13.55,October,Post-Monsoon,0,Not applicable,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Israel,33.239334,35.65373662,January,Winter,72,Village,Foot and mouth disease
Bees,0,1,0,Bacterium,Ecuador,-0.207331,-78.457646,May,Summer,51,Apiary,American foulbrood of honey bees
Rabbits,0,0,0,Virus,China (People's Rep. of),30.6931,104.7617,May,Summer,3500,Farm,Rabbit haemorrhagic disease
Dogs,0,0,0,Virus,Myanmar,17.3307,96.4917,October,Post-Monsoon,0,Other,Rabies
